"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"State of Derbyshire Report 2019","2019","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/2020/03/State-of-Derbyshire-2019-FINAL-slideset-PUBLIC.pptx","Report","All",NA,NA,NA,NA
"DPH Annual Report 2019","2019","Annual Report","The Derbyshire Director of Public Health's annual report 2019. This year's annual report highlights ageing well and staying stronger for longer.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports//documents/health/specialist_reports_and_assessments/2019/Public_Health_Annual_Report_2019_-_Full.pdf","Report","All","Frailty",NA,NA,NA
"State of Derbyshire Report 2014 - Addendum: Children and Young People's Health Benchmarking Tool","2014","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD_2014_Add_CYP.pdf","Report","All",NA,NA,NA,NA
"State of Derbyshire Report 2014","2014","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD_2014_DO.pdf","Report","All",NA,NA,NA,NA
"State of Derbyshire Report 2015","2015","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD_2015.pdf","Report","All",NA,NA,NA,NA
"State of Derbyshire Report 2016","2016","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD_2016.pdf","Report","All",NA,NA,NA,NA
"State of Derbyshire Report 2017","2017","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD_2017_v1.0.pdf","Report","All","ESM",NA,NA,NA
"State of Derbyshire Report 2018","2018","JSNA","This report reviews the position of Derbyshire County in regard to the various Outcomes Frameworks available for health and social care, and highlights where performance is significantly poorer than for England as a whole.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/jsna/SoD2018.pptx","Report","All",NA,NA,NA,NA
"DPH Annual Report 2017","2017","Annual Report","The Derbyshire Director of Public Health's annual report 2017","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2017/DPHAR_2017.pdf","Report","All","Health Protection","Tuberculosis",NA,NA
"DPH Annual Report 2018","2018","Annual Report","Director of Public Health Annual Report 2018: This report aims to raise awareness and understanding of local health issues, highlight areas of specific concern and make recommendations for change.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2018/DPH_Annual_Report_2018.pdf","Report","All","Employment",NA,NA,NA
"DPH Annual Report 2022","2022","Annual Report","This year's report focuses on what actions have been taken, and continue to be taken, to tackle health inequalities in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/DPHAR2022.pdf","Report","All","Covid-19",NA,NA,NA
"DPH Annual Report 2021","2021","Annual Report","The Derbyshire Director of Public Health's annual report 2021. This year's report gives an overview of the work carried out during the Covid-19 pandemic.","https://www.youtube.com/watch?v=ou8jX2e3TBM","Report","All","Covid-19",NA,NA,NA
"Rural Health: Health Needs Assessment of the Farming Community in Derbyshire 2011","2011","HNA","Health Needs Assessment of the Farming Community in Derbyshire. Looking at the issues of health status of and use of health services by the farming community, and levels of income as a measure of financial hardship. ","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2011/A_Health_Needs_Assessment_of_the_Farming_Community_in_Derbyshire_%2005aug(3).pdf","Rural","All","Financial","Loneliness",NA,NA
"Children and Young People with Special Educational Needs and Disabilities in Derbyshire","2021","HNA","This document forms part of Derbyshire’s Joint Strategic Needs Assessment. It considers
the health, care and education needs of children and young people aged 0-25 years with
special educational needs and disabilities (SEND) in Derbyshire. It updates the previous
SEND Needs Assessment published in November 2017","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2021/SEND_Needs_Assessment_Exec_Summary_March_2021.pdf","SEND","Start Well","Neurodiversity","SEND",NA,NA
"Derbyshire Sexual Health Strategy 2017-2020","2017","Strategy","Derbyshire Sexual Health Strategy 2017-2020","https://observatory.derbyshire.gov.uk/wp-content/uploads/2019/07/Derbyshire-Sexual-Health-Strategy-2017-2020.pdf","Sexual Health","Stay Well","Chlamydia","YP Sexual Health",NA,NA
"Derbyshire Sexual Health Strategic Framework 2013-18","2014","Strategy","Strategic Framework Strategy for Derbyshire's Sexual health","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/sexual_health/Derbyshire_Sexual_Health_Strategic_Framework.pdf","Sexual Health","Stay Well","Chlamydia","YP Sexual Health",NA,NA
"Sexual Health: Derby City and Derbyshire County Sexual Health Needs Assessment 2013","2013","HNA","A Health Needs Assessment for Derby City and Derbyshire County Sexual Health.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/sexual_health/SHNA_public_document.pdf","Sexual Health","Stay Well","Chlamydia","YP Sexual Health",NA,NA
"Derby City and Derbyshire County Sexual Health Needs Assessment","2023","HNA","A Health Needs Assessment for Derby City and Derbyshire County Sexual Health.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/Derby_Derbyshire_Sexual_Health_Needs_Assessment_August_2023_Final.pdf","Sexual Health","Stay Well","Chlamydia","YP Sexual Health","LGBTQ",NA
"Infographic for Relationships and Sex Education in Derbyshire 2023 (what are young people telling us?)","2023","Report","Infographic for Relationship and Sexual Health in Derbyshire (what are young people telling us?).","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2023/RSE_in_derbyshire_final_infographic_db28062023.pdf","Sexual Health","Stay Well","Chlamydia","YP Sexual Health",NA,NA
"Action on Smoking and Health Local Toolkit",NA,"Link","Action on Smoking and Health Local Toolkit: materials for local public health professionals and Councillors involved in tobacco control.","https://ash.org.uk/resources/local-toolkit","Smoking","Stay Well",NA,NA,NA,NA
"Tobacco Control in Derbyshire: Health Needs Assessment - 2023 Update","2023","HNA","This health needs assessment aims to take a deep dive into tobacco control in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/smoking/Derbyshire_TC_HNA_Update_2023.pdf","Smoking","Stay Well","Asthma","COPD",NA,NA
"Evidence map - Smoking Cessation Innovative Practice","2019","Report","This evidence map has been produced to inform commissioning intentions on a low cost smoking cessation intervention with the potential to increase 4 week quit rates within the smoking cessation service.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/smoking/Smoking_Cessation_Innovative_Practice_KIT_Evidence_Map2019.pdf","Smoking","Stay Well",NA,NA,NA,NA
"Vape use reported among non-smokers by children and young people in Derbyshire","2023","Report","A summary of vape (e-cigarette) use reported among non-smokers by children and young people in Derbyshire from the 2022 version of the 'My Life, My View' survey.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/MLMV%20vape%20use%20in%20Y10%20non-smokers%20(003).pdf","Smoking","Stay Well",NA,NA,NA,NA
"Tobacco Control Health Needs Assessment","2019","HNA","This summary highlights the key messages from a health needs assessment that has been developed to bring together data and evidence to inform the development and implementation of local tobacco control work.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/TobaccaControl_HNA_final%2020190722.pdf","Smoking","Stay Well","Asthma","COPD",NA,NA
"Tobacco Control Health Needs Assessment - Slide deck","2019","HNA","This slide deck highlights the key messages from a health needs assessment that has been developed to bring together data and evidence to inform the development and delivery of local tobacco control work.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2019/Tobacco_HNA_summary20190722.pptx","Smoking","Stay Well","Asthma","COPD",NA,NA
"A health equity audit of smoking cessation services provided by Live Life Better Derbyshire between April 2019 and March 2021","2022","HEA","The aim of this Health Equity Audit (HEA) is to determine the equity of access to, and outcomes of, the Live Life Better Derbyshire (LLBD) smoking cessation service between April 2019 and March 2021.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2022/20220527-HEA-Smoking-Cessation-v1.0-with-cover-sheet.pdf","Smoking","Stay Well",NA,NA,NA,NA
